# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl;60;1440180802;eth0;165.32;211.67;23.80;1628.15;0.00;0.00;0.00
pgxl;60;1440180802;lo;20.53;20.53;4.70;4.70;0.00;0.00;0.00
pgxl;60;1440180862;eth0;37.95;44.05;17.14;18.41;0.00;0.00;0.00
pgxl;60;1440180862;lo;13.30;13.30;3.21;3.21;0.00;0.00;0.00
pgxl;60;1440180922;eth0;34.58;42.15;23.36;4.95;0.00;0.00;0.00
pgxl;60;1440180922;lo;11.68;11.68;2.97;2.97;0.00;0.00;0.00
pgxl;60;1440180982;eth0;48.23;57.47;24.20;17.87;0.00;0.00;0.00
pgxl;60;1440180982;lo;14.18;14.18;3.48;3.48;0.00;0.00;0.00
pgxl;60;1440181042;eth0;33.95;42.05;23.13;4.88;0.00;0.00;0.00
pgxl;60;1440181042;lo;11.78;11.78;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440181102;eth0;33.60;42.35;23.09;4.84;0.00;0.00;0.00
pgxl;60;1440181102;lo;11.68;11.68;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181162;eth0;34.07;42.67;22.96;5.08;0.00;0.00;0.00
pgxl;60;1440181162;lo;11.65;11.65;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181222;eth0;33.52;42.17;23.15;5.08;0.00;0.00;0.00
pgxl;60;1440181222;lo;11.67;11.67;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181282;eth0;34.20;42.78;22.99;5.03;0.00;0.00;0.00
pgxl;60;1440181282;lo;11.68;11.68;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440181342;eth0;33.90;42.40;23.10;4.92;0.00;0.00;0.00
pgxl;60;1440181342;lo;11.67;11.67;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181402;eth0;36.52;45.07;23.33;5.59;0.00;0.00;0.00
pgxl;60;1440181402;lo;11.73;11.73;2.96;2.96;0.00;0.00;0.00
pgxl;60;1440181462;eth0;33.67;42.27;23.04;4.96;0.00;0.00;0.00
pgxl;60;1440181462;lo;11.72;11.72;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440181522;eth0;32.60;41.15;23.05;4.84;0.00;0.00;0.00
pgxl;60;1440181522;lo;11.75;11.75;2.96;2.96;0.00;0.00;0.00
pgxl;60;1440181582;eth0;33.78;42.17;23.17;4.92;0.00;0.00;0.00
pgxl;60;1440181582;lo;11.68;11.68;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181642;eth0;33.57;42.13;23.05;4.89;0.00;0.00;0.00
pgxl;60;1440181642;lo;11.70;11.70;2.96;2.96;0.00;0.00;0.00
pgxl;60;1440181702;eth0;34.17;42.90;23.12;5.06;0.00;0.00;0.00
pgxl;60;1440181702;lo;11.72;11.72;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440181762;eth0;33.65;42.33;23.09;5.03;0.00;0.00;0.00
pgxl;60;1440181762;lo;11.72;11.72;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181822;eth0;33.27;41.92;23.15;4.89;0.00;0.00;0.00
pgxl;60;1440181822;lo;11.67;11.67;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440181882;eth0;33.55;42.08;23.11;4.90;0.00;0.00;0.00
pgxl;60;1440181882;lo;11.70;11.70;2.93;2.93;0.00;0.00;0.00
pgxl;60;1440181942;eth0;267.88;239.90;57.82;34.30;0.00;0.00;0.00
pgxl;60;1440181942;lo;14.08;14.08;3.48;3.48;0.00;0.00;0.00
pgxl;60;1440182002;eth0;49.68;48.43;87.62;5.34;0.00;0.00;0.00
pgxl;60;1440182002;lo;11.63;11.63;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440182062;eth0;46.65;46.75;87.69;5.22;0.00;0.00;0.00
pgxl;60;1440182062;lo;11.70;11.70;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440182122;eth0;45.05;46.20;87.40;5.12;0.00;0.00;0.00
pgxl;60;1440182122;lo;11.70;11.70;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440182182;eth0;47.53;47.28;87.59;5.20;0.00;0.00;0.00
pgxl;60;1440182182;lo;11.62;11.62;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440182242;eth0;47.42;46.60;87.56;5.20;0.00;0.00;0.00
pgxl;60;1440182242;lo;11.70;11.70;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440182302;eth0;46.15;46.37;87.51;5.12;0.00;0.00;0.00
pgxl;60;1440182302;lo;11.67;11.67;2.93;2.93;0.00;0.00;0.00
pgxl;60;1440182362;eth0;46.67;46.70;87.41;5.19;0.00;0.00;0.00
pgxl;60;1440182362;lo;11.70;11.70;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440182422;eth0;46.10;47.20;87.39;5.43;0.00;0.00;0.00
pgxl;60;1440182422;lo;11.67;11.67;2.91;2.91;0.00;0.00;0.00
pgxl;60;1440182482;eth0;47.30;46.80;87.57;5.27;0.00;0.00;0.00
pgxl;60;1440182482;lo;11.73;11.73;2.99;2.99;0.00;0.00;0.00
pgxl;60;1440182542;eth0;45.73;46.53;87.54;5.32;0.00;0.00;0.00
pgxl;60;1440182542;lo;11.73;11.73;2.96;2.96;0.00;0.00;0.00
pgxl;60;1440182602;eth0;44.95;46.28;87.51;5.19;0.00;0.00;0.00
pgxl;60;1440182602;lo;11.22;11.22;2.88;2.88;0.00;0.00;0.00
pgxl;60;1440182662;eth0;47.32;46.30;87.66;5.15;0.00;0.00;0.00
pgxl;60;1440182662;lo;11.68;11.68;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440182722;eth0;47.35;46.45;87.55;5.18;0.00;0.00;0.00
pgxl;60;1440182722;lo;10.95;10.95;2.89;2.89;0.00;0.00;0.00
pgxl;60;1440182782;eth0;47.18;46.23;87.60;5.15;0.00;0.00;0.00
pgxl;60;1440182782;lo;11.68;11.68;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440182842;eth0;47.08;47.15;87.53;5.38;0.00;0.00;0.00
pgxl;60;1440182842;lo;11.70;11.70;2.92;2.92;0.00;0.00;0.00
pgxl;60;1440182902;eth0;46.28;46.87;87.42;5.22;0.00;0.00;0.00
pgxl;60;1440182902;lo;11.65;11.65;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440182962;eth0;79.42;78.93;80.68;18.96;0.00;0.00;0.00
pgxl;60;1440182962;lo;16.33;16.33;3.96;3.96;0.00;0.00;0.00
pgxl;60;1440183022;eth0;40.88;44.00;67.18;5.15;0.00;0.00;0.00
pgxl;60;1440183022;lo;11.65;11.65;2.90;2.90;0.00;0.00;0.00
pgxl;60;1440183082;eth0;40.62;43.98;67.07;5.07;0.00;0.00;0.00
pgxl;60;1440183082;lo;11.70;11.70;2.90;2.90;0.00;0.00;0.00
pgxl;60;1440183142;eth0;44.37;48.45;56.47;12.42;0.00;0.00;0.00
pgxl;60;1440183142;lo;14.02;14.02;3.43;3.43;0.00;0.00;0.00
pgxl;60;1440183202;eth0;36.12;42.13;44.84;5.02;0.00;0.00;0.00
pgxl;60;1440183202;lo;11.70;11.70;2.92;2.92;0.00;0.00;0.00
pgxl;60;1440183262;eth0;36.23;42.55;44.88;5.07;0.00;0.00;0.00
pgxl;60;1440183262;lo;11.70;11.70;2.93;2.93;0.00;0.00;0.00
pgxl;60;1440183322;eth0;36.75;42.23;44.94;4.92;0.00;0.00;0.00
pgxl;60;1440183322;lo;11.70;11.70;2.95;2.95;0.00;0.00;0.00
pgxl;60;1440183382;eth0;36.48;42.43;44.83;4.90;0.00;0.00;0.00
pgxl;60;1440183382;lo;11.62;11.62;2.91;2.91;0.00;0.00;0.00
pgxl;60;1440183442;eth0;41.92;48.63;49.27;18.98;0.00;0.00;0.00
pgxl;60;1440183442;lo;13.95;13.95;3.45;3.45;0.00;0.00;0.00
pgxl;60;1440183502;eth0;37.18;43.63;50.78;5.03;0.00;0.00;0.00
pgxl;60;1440183502;lo;11.72;11.72;2.98;2.98;0.00;0.00;0.00
pgxl;60;1440183562;eth0;37.67;43.65;50.74;5.03;0.00;0.00;0.00
pgxl;60;1440183562;lo;11.73;11.73;2.98;2.98;0.00;0.00;0.00
pgxl;60;1440183622;eth0;42.48;48.97;48.44;15.45;0.00;0.00;0.00
pgxl;60;1440183622;lo;14.08;14.08;3.49;3.49;0.00;0.00;0.00
pgxl;60;1440183682;eth0;36.85;43.30;44.95;5.13;0.00;0.00;0.00
pgxl;60;1440183682;lo;11.67;11.67;2.94;2.94;0.00;0.00;0.00
pgxl;60;1440183742;eth0;43.98;49.00;39.32;5.37;0.00;0.00;0.00
pgxl;60;1440183742;lo;11.70;11.70;2.93;2.93;0.00;0.00;0.00
pgxl;60;1440183802;eth0;70.42;61.75;219.68;10.31;0.00;0.00;0.00
pgxl;60;1440183802;lo;13.98;13.98;3.43;3.43;0.00;0.00;0.00
pgxl;60;1440183862;eth0;33.35;41.78;18.48;4.97;0.00;0.00;0.00
