# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl4;60;1440177834;30091460;896360;2.89;0;528744;9033196;29.15;160080;430028;360
pgxl4;60;1440177894;29108252;1879568;6.07;0;1458148;9092804;29.34;679100;867688;332388
pgxl4;60;1440177954;28069496;2918324;9.42;0;2452884;9122628;29.44;1242876;1311908;471552
pgxl4;60;1440178014;27143332;3844488;12.41;0;3340860;9147752;29.52;1813968;1640424;171900
pgxl4;60;1440178074;26208640;4779180;15.42;0;4235340;9172288;29.60;2455340;1905072;228700
pgxl4;60;1440178134;25074420;5913400;19.08;0;5121496;9419912;30.40;3254156;2212900;734700
pgxl4;60;1440178194;23642380;7345440;23.70;0;6104496;9843240;31.76;4573440;2293424;553236
pgxl4;60;1440178254;21923052;9064768;29.25;0;6969464;10744128;34.67;6145256;2408872;335520
pgxl4;60;1440178314;21010096;9977724;32.20;0;7981188;10658528;34.40;6508228;2922784;240336
pgxl4;60;1440178374;19618612;11369208;36.69;0;8977576;11003348;35.51;7301700;3487236;215456
pgxl4;60;1440178434;17930704;13057116;42.14;0;9909504;11749228;37.92;8486760;3952472;223764
pgxl4;60;1440178494;16455372;14532448;46.90;0;10794136;12301804;39.70;10072836;3807840;755136
pgxl4;60;1440178554;15477148;15510672;50.05;0;11686388;12328412;39.78;11035404;3783016;274276
pgxl4;60;1440178614;14497272;16490548;53.22;0;12560772;12380804;39.95;11658284;4116048;415020
pgxl4;60;1440178674;12650984;18336836;59.17;0;13475908;13335656;43.04;13104908;4476912;497484
pgxl4;60;1440178734;10757636;20230184;65.28;0;14716208;13928608;44.95;14344956;5087524;430360
pgxl4;60;1440178794;9887988;21099832;68.09;0;15449020;14059504;45.37;16219780;4055308;782652
pgxl4;60;1440178854;10072624;20915196;67.49;0;16168656;13132284;42.38;16440348;3627376;364648
pgxl4;60;1440178914;6842120;24145700;77.92;0;18441160;14398780;46.47;18480772;4775852;1399528
pgxl4;60;1440178974;4632832;26354988;85.05;0;19268308;15393628;49.68;20334260;5099260;277256
pgxl4;60;1440179034;6512672;24475148;78.98;0;20984476;12058148;38.91;17300520;6208112;1681224
pgxl4;60;1440179094;3802740;27185080;87.73;0;23012672;12725244;41.07;18559288;7596868;378268
pgxl4;60;1440179154;562892;30424928;98.18;0;23923116;14873288;48.00;22862076;6507568;610280
pgxl4;60;1440179214;1112792;29875028;96.41;0;24642964;13402308;43.25;20472596;8321576;326672
pgxl4;60;1440179274;228388;30759432;99.26;0;24790844;14056608;45.36;20274376;9403368;353440
pgxl4;60;1440179334;1328000;29659820;95.71;0;25207300;12557964;40.53;18500184;10096864;127968
pgxl4;60;1440179394;258024;30729796;99.17;0;25473988;13386696;43.20;19519416;10154792;226884
pgxl4;60;1440179454;242696;30745124;99.22;0;23577852;15300912;49.38;18122928;11592616;104940
pgxl4;60;1440179514;834784;30153036;97.31;0;23948240;14302480;46.16;17681404;11473396;92052
pgxl4;60;1440179574;5255816;25732004;83.04;0;24447116;9357976;30.20;13651764;11104396;100564
pgxl4;60;1440179634;4515312;26472508;85.43;0;25022084;9529500;30.75;14433056;11059788;403668
pgxl4;60;1440179694;1614908;29372912;94.79;0;26439000;10988960;35.46;17366872;11008036;340424
pgxl4;60;1440179754;827484;30160336;97.33;0;27199752;10988960;35.46;18797844;10348456;402008
pgxl4;60;1440179814;220276;30767544;99.29;0;27407492;11399112;36.79;20634332;9120292;288856
pgxl4;60;1440179874;2378444;28609376;92.32;0;27361792;9266636;29.90;18312544;9288400;166220
pgxl4;60;1440179934;1574008;29413812;94.92;0;27850660;9596028;30.97;19432412;8967336;201100
pgxl4;60;1440179994;623564;30364256;97.99;0;25498056;13963316;45.06;19197392;10188628;287632
pgxl4;60;1440180054;217252;30770568;99.30;0;18416128;21462744;69.26;23160848;6782268;3089236
pgxl4;60;1440180114;223764;30764056;99.28;0;17307584;24767892;79.93;22321428;7633208;2720568
pgxl4;60;1440180174;11862484;19125336;61.72;0;18155652;9190616;29.66;9851484;8472708;64
pgxl4;60;1440180234;6884816;24103004;77.78;0;20589276;12213780;39.41;16673596;6627512;12
pgxl4;60;1440180294;1189572;29798248;96.16;0;22387176;16300900;52.60;20659620;8282848;64960
pgxl4;60;1440180354;247976;30739844;99.20;0;20343768;21014036;67.81;21187272;8706408;1607048
pgxl4;60;1440180414;9489868;21497952;69.38;0;20470132;11281240;36.41;11875444;8761448;2406448
pgxl4;60;1440180474;9171720;21816100;70.40;0;20804668;11263752;36.35;14605904;6358536;3312840
pgxl4;60;1440180534;6972972;24014848;77.50;0;23046532;11228568;36.24;17044416;6144320;24
pgxl4;60;1440180594;3344876;27642944;89.21;0;26686120;11217492;36.20;20923416;5900188;94764
pgxl4;60;1440180654;860228;30127592;97.22;0;27062468;11238364;36.27;28353188;949188;75816
