Linux 3.10.0-229.el7.x86_64 (pgxl4) 	08/21/2015 	_x86_64_	(4 CPU)

01:22:54 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:23:54 PM     all      1.04      0.00      0.95      0.02      0.01     97.98
01:24:54 PM     all      3.61      0.00      1.35      2.71      0.10     92.23
01:25:54 PM     all      9.44      0.00      1.59      3.78      0.12     85.08
01:26:54 PM     all      4.01      0.00      1.42      8.92      0.12     85.52
01:27:54 PM     all      9.15      0.00      1.55      5.62      0.12     83.56
01:28:54 PM     all     17.76      0.00      1.62      4.86      0.09     75.67
01:29:54 PM     all     12.23      0.00      1.87      6.32      0.12     79.46
01:30:54 PM     all     16.47      0.00      1.85      5.19      0.11     76.38
01:31:54 PM     all     15.35      0.00      1.73      6.07      0.12     76.74
01:32:54 PM     all      7.92      0.00      1.57      3.46      0.12     86.92
01:33:54 PM     all     11.01      0.00      1.62      3.84      0.11     83.42
01:34:54 PM     all     43.47      0.00      2.10      3.94      0.08     50.41
01:35:54 PM     all     21.60      0.00      1.86     11.16      0.11     65.27
01:36:54 PM     all     16.89      0.00      1.39      2.21      0.10     79.40
01:37:54 PM     all     18.55      0.00      1.63      2.81      0.11     76.90
01:38:54 PM     all     76.65      0.00      2.41      1.34      0.03     19.57
01:39:54 PM     all     87.34      0.00      2.51      0.95      0.03      9.17
01:40:54 PM     all     80.22      0.00      2.24      1.56      0.04     15.93
01:41:54 PM     all     83.75      0.00      4.43      1.01      0.03     10.77
01:42:54 PM     all     97.29      0.00      2.71      0.00      0.00      0.00
01:43:54 PM     all     71.94      0.00      4.09     15.95      0.07      7.95
01:44:54 PM     all     29.60      0.00      4.10     31.48      0.15     34.67
01:45:54 PM     all     75.58      0.00      5.33      7.72      0.04     11.33
01:46:54 PM     all     97.85      0.00      2.15      0.00      0.00      0.00
01:47:54 PM     all     83.26      0.00      4.45      7.62      0.02      4.65
01:48:54 PM     all     95.73      0.00      1.61      0.09      0.01      2.56
01:49:54 PM     all     98.38      0.00      1.62      0.00      0.00      0.00
01:50:54 PM     all     97.39      0.00      2.60      0.00      0.00      0.00
01:51:54 PM     all     98.50      0.00      1.50      0.00      0.00      0.00
01:52:54 PM     all     39.32      0.00      1.25      2.76      0.10     56.56
01:53:54 PM     all      5.81      0.00      0.95      4.40      0.16     88.68
01:54:54 PM     all      6.38      0.00      1.29      6.29      0.16     85.88
01:55:54 PM     all      6.83      0.00      1.04      2.41      0.15     89.57
01:56:54 PM     all     45.96      0.00      1.42      4.60      0.08     47.93
01:57:54 PM     all     47.69      0.00      1.34      4.30      0.08     46.59
01:58:54 PM     all     25.89      0.00      1.09      3.92      0.11     68.99
01:59:54 PM     all     59.46      0.00      4.12     19.40      0.04     16.99
02:00:54 PM     all     62.33      0.00      9.99     14.51      0.16     13.01
02:01:54 PM     all     54.72      0.00      4.01     32.87      0.05      8.36
02:02:54 PM     all      1.04      0.00      1.44     52.99      0.08     44.46
02:03:54 PM     all      5.87      0.00      2.07     16.47      0.03     75.55
02:04:54 PM     all     38.21      0.00      7.32      7.03      0.02     47.42
02:05:54 PM     all     74.84      0.00      4.90     11.80      0.01      8.46
02:06:54 PM     all      1.19      0.00      1.61     32.47      0.06     64.68
02:07:54 PM     all      1.81      0.00      1.55     28.44      0.07     68.13
02:08:54 PM     all      0.04      0.00      0.23     26.39      0.08     73.25
02:09:54 PM     all      0.06      0.00      0.14     26.75      0.06     72.99
02:10:54 PM     all     43.83      0.00      2.06      2.89      0.01     51.21
