Linux 3.10.0-229.el7.x86_64 (pgxl) 	08/21/2015 	_x86_64_	(4 CPU)

01:22:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:23:53 PM     all      1.04      0.00      0.51      0.13      0.01     98.31
01:24:53 PM     all     51.95      0.00     34.65      0.16      0.13     13.11
01:25:53 PM     all     66.02      0.00     33.98      0.00      0.00      0.00
01:26:53 PM     all     63.52      0.00     36.48      0.00      0.00      0.00
01:27:53 PM     all     63.54      0.00     36.46      0.00      0.00      0.00
01:28:53 PM     all     66.23      0.00     33.77      0.00      0.00      0.00
01:29:53 PM     all     64.23      0.00     35.77      0.00      0.00      0.00
01:30:53 PM     all     56.06      0.00     43.94      0.00      0.00      0.00
01:31:53 PM     all     58.43      0.00     41.57      0.00      0.00      0.00
01:32:53 PM     all     61.76      0.00     38.24      0.00      0.00      0.00
01:33:53 PM     all     66.83      0.00     33.17      0.00      0.00      0.00
01:34:53 PM     all     68.04      0.00     31.96      0.00      0.00      0.00
01:35:53 PM     all     65.87      0.00     34.13      0.00      0.00      0.00
01:36:53 PM     all     65.42      0.00     34.58      0.00      0.00      0.00
01:37:53 PM     all     67.22      0.00     32.78      0.00      0.00      0.00
01:38:53 PM     all     70.94      0.00     29.06      0.00      0.00      0.00
01:39:53 PM     all     68.83      0.00     31.17      0.00      0.00      0.00
01:40:53 PM     all     70.43      0.00     29.56      0.01      0.00      0.00
01:41:53 PM     all     67.27      0.00     15.70     16.99      0.04      0.00
01:42:54 PM     all     64.22      0.00      5.62     30.08      0.05      0.03
01:43:54 PM     all     66.11      0.00      5.68     28.08      0.06      0.07
01:44:54 PM     all     65.73      0.00      5.05     29.11      0.07      0.05
01:45:54 PM     all     65.98      0.00      5.07     28.87      0.06      0.03
01:46:54 PM     all     65.93      0.00      4.99     28.93      0.06      0.10
01:47:54 PM     all     66.21      0.00      5.20     28.52      0.06      0.01
01:48:54 PM     all     65.71      0.00      5.00     29.16      0.08      0.05
01:49:54 PM     all     65.58      0.00      5.11     29.21      0.06      0.05
01:50:54 PM     all     65.43      0.00      5.03     29.47      0.07      0.00
01:51:54 PM     all     65.55      0.00      5.01     29.33      0.06      0.05
01:52:54 PM     all     65.62      0.00      5.08     29.16      0.07      0.07
01:53:54 PM     all     65.36      0.00      4.96     29.52      0.08      0.08
01:54:54 PM     all     66.37      0.00      5.02     28.51      0.06      0.04
01:55:54 PM     all     66.07      0.00      5.15     28.70      0.06      0.02
01:56:54 PM     all     65.63      0.00      5.15     29.08      0.07      0.08
01:57:54 PM     all     65.75      0.00      5.10     28.96      0.07      0.13
01:58:54 PM     all     65.55      0.00      5.12     27.96      0.07      1.30
01:59:54 PM     all      6.72      0.00      0.72      1.86      0.03     90.67
02:00:54 PM     all      0.12      0.00      0.25      0.00      0.00     99.64
02:01:54 PM     all      0.13      0.00      0.25      0.02      0.00     99.61
02:02:54 PM     all      0.11      0.00      0.29      0.00      0.00     99.59
02:03:54 PM     all      0.12      0.00      0.23      0.00      0.00     99.64
02:04:54 PM     all      0.12      0.00      0.24      0.00      0.00     99.63
02:05:54 PM     all      0.12      0.00      0.22      0.00      0.00     99.66
02:06:54 PM     all      0.10      0.00      0.25      0.01      0.00     99.63
02:07:54 PM     all      0.13      0.00      0.24      0.00      0.00     99.62
02:08:54 PM     all      0.12      0.00      0.23      0.00      0.00     99.65
02:09:54 PM     all      0.12      0.00      0.24      0.01      0.00     99.63
02:10:54 PM     all      0.12      0.00      0.24      0.00      0.00     99.64
