ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,9398,10,psql,10.93.131.148,55058,2015-08-21 14:12:23.570801-04,,2015-08-21 14:12:23.594328-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.594331-04
946684800,9399,10,psql,10.93.131.148,55062,2015-08-21 14:12:23.574969-04,,2015-08-21 14:12:23.596389-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.596392-04
946684800,9400,10,psql,10.93.131.148,55081,2015-08-21 14:12:23.589606-04,,2015-08-21 14:12:23.595493-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.595496-04
946684800,9419,10,pgxc,10.93.131.148,55093,2015-08-21 14:12:31.468378-04,,2015-08-21 14:13:23.455356-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:23.464412-04
946684800,9440,10,pgxc,10.87.3.232,36315,2015-08-21 14:13:06.545217-04,,2015-08-21 14:13:15.364337-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539137-04
946684800,9443,10,pgxc,10.92.9.245,43098,2015-08-21 14:13:06.547091-04,,2015-08-21 14:13:15.27702-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539248-04
946684800,9441,10,pgxc,10.87.8.227,41078,2015-08-21 14:13:06.547235-04,,2015-08-21 14:13:15.291714-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540437-04
946684800,9445,10,pgxc,10.92.9.245,43099,2015-08-21 14:13:06.548035-04,,2015-08-21 14:13:15.284936-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.54021-04
946684800,9444,10,pgxc,10.87.3.206,38440,2015-08-21 14:13:06.548145-04,,2015-08-21 14:13:15.301471-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539783-04
946684800,9446,10,pgxc,10.87.3.206,38441,2015-08-21 14:13:06.549017-04,,2015-08-21 14:13:15.289544-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539743-04
