# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl2;60;1440180802;-25217.37;0.00;24857.28
pgxl2;60;1440180862;-3901.55;0.00;2107.72
pgxl2;60;1440180922;-98.13;0.00;59.82
pgxl2;60;1440180982;28.38;0.00;89.47
pgxl2;60;1440181042;-52.97;0.00;119.85
pgxl2;60;1440181102;29.42;0.00;-87.90
pgxl2;60;1440181162;30.87;0.00;-320.03
pgxl2;60;1440181222;90.23;0.00;-207.57
pgxl2;60;1440181282;-118.27;0.00;64.08
pgxl2;60;1440181342;10.17;0.00;-169.47
pgxl2;60;1440181402;11.73;0.00;-59.58
pgxl2;60;1440181462;76.55;0.00;-146.57
pgxl2;60;1440181522;-108.88;0.00;59.08
pgxl2;60;1440181582;-16.55;0.00;-40.55
pgxl2;60;1440181642;41.68;0.00;-108.78
pgxl2;60;1440181702;-10.27;0.00;-38.23
pgxl2;60;1440181762;32.32;0.00;-77.93
pgxl2;60;1440181822;12.05;0.00;-88.22
pgxl2;60;1440181882;83.02;0.00;-139.25
pgxl2;60;1440181942;-99.57;0.00;-3251.42
pgxl2;60;1440182002;185.13;0.00;-7418.80
pgxl2;60;1440182062;-84.08;0.00;-3823.45
pgxl2;60;1440182122;124.27;0.00;-2318.95
pgxl2;60;1440182182;528.25;0.00;-1691.05
pgxl2;60;1440182242;239.50;0.00;-924.03
pgxl2;60;1440182302;170.82;0.00;-460.28
pgxl2;60;1440182362;-303.65;0.00;103.28
pgxl2;60;1440182422;382.95;0.00;-496.85
pgxl2;60;1440182482;164.25;0.00;-228.20
pgxl2;60;1440182542;-7.67;0.00;-36.08
pgxl2;60;1440182602;-6.33;0.00;1.75
pgxl2;60;1440182662;-10.15;0.00;7.17
pgxl2;60;1440182722;-8.17;0.00;16.77
pgxl2;60;1440182782;82.45;0.00;-21.20
pgxl2;60;1440182842;-5.57;0.00;45.78
pgxl2;60;1440182902;101.30;0.00;-83.92
pgxl2;60;1440182962;-114.18;0.00;1713.62
pgxl2;60;1440183022;-297.25;0.00;93.23
pgxl2;60;1440183082;82.05;0.00;-238.35
pgxl2;60;1440183142;-1298.95;0.00;-604.82
pgxl2;60;1440183202;44.52;0.00;-2177.22
pgxl2;60;1440183262;43.03;0.00;-6066.93
pgxl2;60;1440183322;-20.03;0.00;30.20
pgxl2;60;1440183382;2653.90;0.00;-2469.88
pgxl2;60;1440183442;9617.65;0.00;-3197.57
pgxl2;60;1440183502;-11883.02;0.00;11892.08
pgxl2;60;1440183562;-451.40;0.00;567.37
pgxl2;60;1440183622;85.27;0.00;-49.98
pgxl2;60;1440183682;-49.88;0.00;126.43
pgxl2;60;1440183742;10858.02;0.00;1949.07
pgxl2;60;1440183802;10324.03;0.00;-3935.53
pgxl2;60;1440183862;-1763.63;0.00;792.17
pgxl2;60;1440183922;-5451.73;0.00;6539.40
pgxl2;60;1440183982;-7390.03;0.00;7385.55
pgxl2;60;1440184042;-6067.98;0.00;6080.47
pgxl2;60;1440184102;-467.47;0.00;473.67
pgxl2;60;1440184162;-42.97;0.00;35.75
pgxl2;60;1440184222;444.78;0.00;355.73
pgxl2;60;1440184282;-414.82;0.00;976.45
pgxl2;60;1440184342;32.90;0.00;-32.67
pgxl2;60;1440184402;-80.60;0.00;83.83
pgxl2;60;1440184462;3214.57;0.00;-3210.02
pgxl2;60;1440184522;2.10;0.00;-0.23
pgxl2;60;1440184582;-1777.30;0.00;1787.88
pgxl2;60;1440184642;-1347.33;0.00;334.07
pgxl2;60;1440184702;-34.97;0.00;-925.77
pgxl2;60;1440184762;1561.88;0.00;261.60
pgxl2;60;1440184822;-1617.82;0.00;1468.90
pgxl2;60;1440184882;37.48;0.00;-185.43
pgxl2;60;1440184942;6741.87;0.00;-7193.83
pgxl2;60;1440185002;530.72;0.00;161.28
pgxl2;60;1440185062;-7317.15;0.00;7322.12
pgxl2;60;1440185122;54.13;0.00;-18.77
pgxl2;60;1440185182;-47.93;0.00;58.65
pgxl2;60;1440185242;34.53;0.00;-17.30
pgxl2;60;1440185302;-51.78;0.00;47.30
pgxl2;60;1440185362;40.70;0.00;-50.42
pgxl2;60;1440185422;-46.82;0.00;66.53
