# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
pgxl6;60;1440177834;-1;1.06;0.00;1.00;0.05;0.00;97.88
pgxl6;60;1440177834;0;0.28;0.00;0.90;0.08;0.02;98.71
pgxl6;60;1440177834;1;0.88;0.00;1.03;0.05;0.00;98.03
pgxl6;60;1440177834;2;1.12;0.00;1.14;0.10;0.02;97.63
pgxl6;60;1440177834;3;1.95;0.00;0.93;0.00;0.00;97.11
pgxl6;60;1440177894;-1;3.51;0.00;1.32;2.62;0.06;92.49
pgxl6;60;1440177894;0;8.57;0.00;2.29;0.89;0.15;88.09
pgxl6;60;1440177894;1;3.55;0.00;1.92;5.34;0.03;89.16
pgxl6;60;1440177894;2;1.50;0.00;0.77;3.59;0.05;94.09
pgxl6;60;1440177894;3;0.57;0.00;0.30;0.62;0.02;98.49
pgxl6;60;1440177954;-1;8.80;0.00;1.53;5.73;0.07;83.87
pgxl6;60;1440177954;0;13.79;0.00;2.96;4.79;0.17;78.28
pgxl6;60;1440177954;1;14.78;0.00;1.73;5.94;0.03;77.52
pgxl6;60;1440177954;2;5.70;0.00;1.05;10.58;0.07;82.61
pgxl6;60;1440177954;3;1.14;0.00;0.42;1.62;0.02;96.80
pgxl6;60;1440178014;-1;7.83;0.00;1.56;9.37;0.08;81.14
pgxl6;60;1440178014;0;12.54;0.00;3.03;7.67;0.19;76.57
pgxl6;60;1440178014;1;6.65;0.00;1.73;9.50;0.03;82.09
pgxl6;60;1440178014;2;5.12;0.00;1.10;17.81;0.10;75.86
pgxl6;60;1440178014;3;7.12;0.00;0.42;2.58;0.00;89.89
pgxl6;60;1440178074;-1;4.45;0.00;1.53;4.59;0.08;89.35
pgxl6;60;1440178074;0;11.91;0.00;3.15;2.30;0.21;82.44
pgxl6;60;1440178074;1;4.17;0.00;1.74;5.81;0.05;88.23
pgxl6;60;1440178074;2;1.66;0.00;0.93;8.57;0.07;88.77
pgxl6;60;1440178074;3;0.32;0.00;0.38;1.64;0.02;97.64
