# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl7;60;1440180802;-25204.13;0.00;24841.43
pgxl7;60;1440180862;-3779.43;0.00;1951.83
pgxl7;60;1440180922;56.57;0.00;-128.03
pgxl7;60;1440180982;59.07;0.00;76.75
pgxl7;60;1440181042;-74.53;0.00;158.63
pgxl7;60;1440181102;79.63;0.00;-145.30
pgxl7;60;1440181162;-129.67;0.00;-97.88
pgxl7;60;1440181222;60.27;0.00;-226.08
pgxl7;60;1440181282;60.52;0.00;-111.27
pgxl7;60;1440181342;-10.33;0.00;-140.35
pgxl7;60;1440181402;-30.25;0.00;-35.67
pgxl7;60;1440181462;60.28;0.00;-112.67
pgxl7;60;1440181522;-134.27;0.00;67.83
pgxl7;60;1440181582;132.62;0.00;-189.58
pgxl7;60;1440181642;-129.13;0.00;41.48
pgxl7;60;1440181702;67.65;0.00;-110.43
pgxl7;60;1440181762;67.17;0.00;-122.65
pgxl7;60;1440181822;-81.75;0.00;20.48
pgxl7;60;1440181882;45.37;0.00;-118.30
pgxl7;60;1440181942;-63.35;0.00;-3187.98
pgxl7;60;1440182002;200.63;0.00;-7386.59
pgxl7;60;1440182062;152.17;0.00;-4049.97
pgxl7;60;1440182122;270.03;0.00;-2460.57
pgxl7;60;1440182182;13.97;0.00;-1241.95
pgxl7;60;1440182242;-26.78;0.00;-672.27
pgxl7;60;1440182302;-19.48;0.00;-254.00
pgxl7;60;1440182362;-211.27;0.00;-11.78
pgxl7;60;1440182422;836.97;0.00;-960.23
pgxl7;60;1440182482;-1199.92;0.00;1120.03
pgxl7;60;1440182542;21.55;0.00;-59.55
pgxl7;60;1440182602;-30.72;0.00;14.25
pgxl7;60;1440182662;48.53;0.00;-50.85
pgxl7;60;1440182722;-29.12;0.00;48.78
pgxl7;60;1440182782;-34.03;0.00;95.60
pgxl7;60;1440182842;47.15;0.00;-17.93
pgxl7;60;1440182902;-29.37;0.00;47.57
pgxl7;60;1440182962;263.22;0.00;1334.78
pgxl7;60;1440183022;-186.70;0.00;-11.63
pgxl7;60;1440183082;62.82;0.00;-240.43
pgxl7;60;1440183142;-108.77;0.00;-1789.85
pgxl7;60;1440183202;-1.87;0.00;-2118.98
pgxl7;60;1440183262;-55.35;0.00;-5977.40
pgxl7;60;1440183322;-7.65;0.00;4.50
pgxl7;60;1440183382;2549.43;0.00;-2378.92
pgxl7;60;1440183442;10381.12;0.00;-3953.35
pgxl7;60;1440183502;-12312.70;0.00;12323.77
pgxl7;60;1440183562;-601.58;0.00;740.00
pgxl7;60;1440183622;60.37;0.00;-26.53
pgxl7;60;1440183682;-14.40;0.00;28.53
pgxl7;60;1440183742;10223.63;0.00;2634.00
pgxl7;60;1440183802;11298.98;0.00;-4891.17
pgxl7;60;1440183862;-1766.87;0.00;791.05
pgxl7;60;1440183922;-3894.48;0.00;4985.25
pgxl7;60;1440183982;-6073.47;0.00;6072.53
pgxl7;60;1440184042;-6039.72;0.00;6043.88
pgxl7;60;1440184102;-3762.22;0.00;3787.02
pgxl7;60;1440184162;-8.82;0.00;10.17
pgxl7;60;1440184222;457.55;0.00;339.58
pgxl7;60;1440184282;-487.90;0.00;1048.78
pgxl7;60;1440184342;96.75;0.00;-99.25
pgxl7;60;1440184402;4484.68;0.00;-4484.10
pgxl7;60;1440184462;-2.22;0.00;0.13
pgxl7;60;1440184522;3.33;0.00;0.15
pgxl7;60;1440184582;-919.67;0.00;921.00
pgxl7;60;1440184642;-2500.35;0.00;1494.28
pgxl7;60;1440184702;-969.37;0.00;0.18
pgxl7;60;1440184762;1830.25;0.00;1.08
pgxl7;60;1440184822;-2029.65;0.00;2005.07
pgxl7;60;1440184882;43.98;0.00;-251.36
pgxl7;60;1440184942;2365.68;0.00;-2733.33
pgxl7;60;1440185002;2660.00;0.00;-2095.93
pgxl7;60;1440185062;-5043.65;0.00;5062.18
pgxl7;60;1440185122;80.60;0.00;-34.85
pgxl7;60;1440185182;-17.03;0.00;29.23
pgxl7;60;1440185242;-105.10;0.00;124.88
pgxl7;60;1440185302;44.93;0.00;-75.73
pgxl7;60;1440185362;-13.53;0.00;0.63
pgxl7;60;1440185422;2475.42;0.00;-2420.55
