# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl5;60;1440180802;eth0;169.83;156.43;681.27;480.19;0.00;0.00;0.00
pgxl5;60;1440180802;lo;57.47;57.47;76.73;76.73;0.00;0.00;0.00
pgxl5;60;1440180862;eth0;401.48;385.77;66.70;57.07;0.00;0.00;0.00
pgxl5;60;1440180862;lo;50.53;50.53;10.15;10.15;0.00;0.00;0.00
pgxl5;60;1440180922;eth0;6710.63;6726.78;752.45;850.56;0.00;0.00;0.00
pgxl5;60;1440180922;lo;1010.80;1010.80;116.83;116.83;0.00;0.00;0.00
pgxl5;60;1440180982;eth0;10170.20;10197.27;1327.52;1495.59;0.00;0.00;0.00
pgxl5;60;1440180982;lo;1550.60;1550.60;207.27;207.27;0.00;0.00;0.00
pgxl5;60;1440181042;eth0;10261.53;10273.57;1308.45;1458.17;0.00;0.00;0.00
pgxl5;60;1440181042;lo;1529.70;1529.70;195.37;195.37;0.00;0.00;0.00
pgxl5;60;1440181102;eth0;5255.13;5263.93;703.20;761.98;0.00;0.00;0.00
pgxl5;60;1440181102;lo;781.85;781.85;104.16;104.16;0.00;0.00;0.00
pgxl5;60;1440181162;eth0;5850.72;5855.53;791.42;867.25;0.00;0.00;0.00
pgxl5;60;1440181162;lo;886.17;886.17;119.92;119.92;0.00;0.00;0.00
pgxl5;60;1440181222;eth0;4215.05;4213.97;569.22;618.37;0.00;0.00;0.00
pgxl5;60;1440181222;lo;616.77;616.77;83.55;83.55;0.00;0.00;0.00
pgxl5;60;1440181282;eth0;4453.07;4452.38;597.59;660.38;0.00;0.00;0.00
pgxl5;60;1440181282;lo;661.85;661.85;88.87;88.87;0.00;0.00;0.00
pgxl5;60;1440181342;eth0;5593.95;5598.02;763.36;822.57;0.00;0.00;0.00
pgxl5;60;1440181342;lo;814.17;814.17;110.87;110.87;0.00;0.00;0.00
pgxl5;60;1440181402;eth0;4172.18;4173.10;564.21;617.53;0.00;0.00;0.00
pgxl5;60;1440181402;lo;612.23;612.23;82.89;82.89;0.00;0.00;0.00
pgxl5;60;1440181462;eth0;5147.60;5149.70;707.67;755.58;0.00;0.00;0.00
pgxl5;60;1440181462;lo;753.15;753.15;103.53;103.53;0.00;0.00;0.00
pgxl5;60;1440181522;eth0;4828.40;4827.57;643.42;713.28;0.00;0.00;0.00
pgxl5;60;1440181522;lo;707.35;707.35;94.72;94.72;0.00;0.00;0.00
pgxl5;60;1440181582;eth0;4223.47;4223.77;569.19;624.99;0.00;0.00;0.00
pgxl5;60;1440181582;lo;622.80;622.80;84.21;84.21;0.00;0.00;0.00
pgxl5;60;1440181642;eth0;5571.13;5569.75;759.20;819.75;0.00;0.00;0.00
pgxl5;60;1440181642;lo;815.70;815.70;110.92;110.92;0.00;0.00;0.00
pgxl5;60;1440181702;eth0;4309.52;4310.50;582.43;635.82;0.00;0.00;0.00
pgxl5;60;1440181702;lo;628.55;628.55;85.12;85.12;0.00;0.00;0.00
pgxl5;60;1440181762;eth0;4215.72;4214.58;568.50;623.84;0.00;0.00;0.00
pgxl5;60;1440181762;lo;620.95;620.95;83.88;83.88;0.00;0.00;0.00
pgxl5;60;1440181822;eth0;5333.80;5335.13;731.45;784.74;0.00;0.00;0.00
pgxl5;60;1440181822;lo;779.97;779.97;106.82;106.82;0.00;0.00;0.00
pgxl5;60;1440181882;eth0;4740.58;4743.58;632.53;702.29;0.00;0.00;0.00
pgxl5;60;1440181882;lo;699.62;699.62;93.42;93.42;0.00;0.00;0.00
pgxl5;60;1440181942;eth0;5707.85;5728.83;2586.14;2643.61;0.00;0.00;0.00
pgxl5;60;1440181942;lo;958.83;958.83;402.42;402.42;0.00;0.00;0.00
pgxl5;60;1440182002;eth0;14764.45;14970.62;16708.42;16983.46;0.00;0.00;0.00
pgxl5;60;1440182002;lo;1922.60;1922.60;2383.40;2383.40;0.00;0.00;0.00
pgxl5;60;1440182062;eth0;14262.92;14302.77;16116.27;16338.41;0.00;0.00;0.00
pgxl5;60;1440182062;lo;1826.18;1826.18;2292.79;2292.79;0.00;0.00;0.00
pgxl5;60;1440182122;eth0;14333.83;14352.43;16102.42;16326.61;0.00;0.00;0.00
pgxl5;60;1440182122;lo;1850.63;1850.63;2292.92;2292.92;0.00;0.00;0.00
pgxl5;60;1440182182;eth0;14678.25;14730.08;16453.47;16678.61;0.00;0.00;0.00
pgxl5;60;1440182182;lo;1907.77;1907.77;2342.95;2342.95;0.00;0.00;0.00
pgxl5;60;1440182242;eth0;14787.48;14855.05;16630.55;16851.83;0.00;0.00;0.00
pgxl5;60;1440182242;lo;1914.95;1914.95;2367.33;2367.33;0.00;0.00;0.00
pgxl5;60;1440182302;eth0;14638.18;14642.88;16491.03;16723.29;0.00;0.00;0.00
pgxl5;60;1440182302;lo;1893.57;1893.57;2348.88;2348.88;0.00;0.00;0.00
pgxl5;60;1440182362;eth0;14982.75;15019.33;16785.22;17013.60;0.00;0.00;0.00
pgxl5;60;1440182362;lo;1939.68;1939.68;2389.73;2389.73;0.00;0.00;0.00
pgxl5;60;1440182422;eth0;15117.20;15118.60;17014.83;17261.12;0.00;0.00;0.00
pgxl5;60;1440182422;lo;1957.55;1957.55;2424.39;2424.39;0.00;0.00;0.00
pgxl5;60;1440182482;eth0;14889.43;14953.55;16740.24;16982.26;0.00;0.00;0.00
pgxl5;60;1440182482;lo;1944.58;1944.58;2384.85;2384.85;0.00;0.00;0.00
pgxl5;60;1440182542;eth0;14754.01;14770.90;16395.49;16624.71;0.00;0.00;0.00
pgxl5;60;1440182542;lo;1932.44;1932.44;2335.52;2335.52;0.00;0.00;0.00
pgxl5;60;1440182602;eth0;14886.10;14838.13;16604.42;16835.94;0.00;0.00;0.00
pgxl5;60;1440182602;lo;1927.98;1927.98;2363.86;2363.86;0.00;0.00;0.00
pgxl5;60;1440182662;eth0;14868.03;14790.15;16617.93;16837.98;0.00;0.00;0.00
pgxl5;60;1440182662;lo;1930.35;1930.35;2366.16;2366.16;0.00;0.00;0.00
pgxl5;60;1440182722;eth0;15035.27;14917.70;16787.48;17019.82;0.00;0.00;0.00
pgxl5;60;1440182722;lo;1956.83;1956.83;2391.84;2391.84;0.00;0.00;0.00
pgxl5;60;1440182782;eth0;14785.65;14584.00;16611.57;16825.99;0.00;0.00;0.00
pgxl5;60;1440182782;lo;1906.53;1906.53;2364.18;2364.18;0.00;0.00;0.00
pgxl5;60;1440182842;eth0;14766.73;14529.67;16584.17;16798.72;0.00;0.00;0.00
pgxl5;60;1440182842;lo;1903.70;1903.70;2360.40;2360.40;0.00;0.00;0.00
pgxl5;60;1440182902;eth0;14919.87;14722.67;16730.41;16955.76;0.00;0.00;0.00
pgxl5;60;1440182902;lo;1929.47;1929.47;2383.30;2383.30;0.00;0.00;0.00
pgxl5;60;1440182962;eth0;14090.07;14033.98;16569.10;16779.65;0.00;0.00;0.00
pgxl5;60;1440182962;lo;1880.13;1880.13;2398.69;2398.69;0.00;0.00;0.00
pgxl5;60;1440183022;eth0;28586.62;28643.32;35036.73;35482.69;0.00;0.00;0.00
pgxl5;60;1440183022;lo;3626.92;3626.92;4984.18;4984.18;0.00;0.00;0.00
pgxl5;60;1440183082;eth0;28582.85;28640.80;35012.45;35434.69;0.00;0.00;0.00
pgxl5;60;1440183082;lo;3617.17;3617.17;4976.03;4976.03;0.00;0.00;0.00
pgxl5;60;1440183142;eth0;19713.17;19756.05;24462.39;24783.78;0.00;0.00;0.00
pgxl5;60;1440183142;lo;2520.02;2520.02;3498.98;3498.98;0.00;0.00;0.00
pgxl5;60;1440183202;eth0;4.97;4.17;0.43;5.67;0.00;0.00;0.00
pgxl5;60;1440183202;lo;22.75;22.75;4.62;4.62;0.00;0.00;0.00
pgxl5;60;1440183262;eth0;5.25;4.45;0.45;5.68;0.00;0.00;0.00
pgxl5;60;1440183262;lo;23.27;23.27;4.69;4.69;0.00;0.00;0.00
