ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,25970,10,psql,10.93.131.148,42933,2015-08-21 14:12:23.55039-04,,2015-08-21 14:12:23.574038-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.574041-04
946684800,25972,10,psql,10.93.131.148,42939,2015-08-21 14:12:23.55438-04,,2015-08-21 14:12:23.573561-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.573564-04
946684800,25971,10,psql,10.93.131.148,42935,2015-08-21 14:12:23.552468-04,,2015-08-21 14:12:23.574156-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.574159-04
946684800,25973,10,psql,10.93.131.148,42943,2015-08-21 14:12:23.557684-04,,,f,"",idle,2015-08-21 14:12:23.577369-04
946684800,25992,10,pgxc,10.93.131.148,42999,2015-08-21 14:12:31.501623-04,,2015-08-21 14:13:23.454015-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:23.463645-04
946684800,25997,10,pgxc,10.87.3.232,34996,2015-08-21 14:13:06.576725-04,,2015-08-21 14:13:15.363254-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.538304-04
946684800,26012,10,pgxc,10.87.3.232,35005,2015-08-21 14:13:06.590448-04,,2015-08-21 14:13:15.282951-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539082-04
946684800,26013,10,pgxc,10.92.9.245,48884,2015-08-21 14:13:06.590443-04,,2015-08-21 14:13:15.281953-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539522-04
946684800,26014,10,pgxc,10.87.3.185,55544,2015-08-21 14:13:06.592249-04,,2015-08-21 14:13:15.278601-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.538977-04
946684800,26016,10,pgxc,10.95.141.120,50075,2015-08-21 14:13:06.593364-04,,2015-08-21 14:13:15.253287-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.53856-04
946684800,26015,10,pgxc,10.87.8.227,35196,2015-08-21 14:13:06.593825-04,,2015-08-21 14:13:15.283857-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.538766-04
946684800,26018,10,pgxc,10.87.8.227,35197,2015-08-21 14:13:06.5939-04,,2015-08-21 14:13:15.289493-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539474-04
946684800,26017,10,pgxc,10.94.132.84,44002,2015-08-21 14:13:06.59451-04,,2015-08-21 14:13:15.260551-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539178-04
946684800,26019,10,pgxc,10.87.3.206,35229,2015-08-21 14:13:06.59497-04,,2015-08-21 14:13:15.285027-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539082-04
946684800,26020,10,pgxc,10.92.9.245,48885,2015-08-21 14:13:06.59623-04,,2015-08-21 14:13:15.275588-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.53849-04
946684800,26022,10,pgxc,10.95.141.120,50076,2015-08-21 14:13:06.599219-04,,2015-08-21 14:13:15.251516-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.53932-04
946684800,26024,10,pgxc,10.87.3.206,35230,2015-08-21 14:13:06.599475-04,,2015-08-21 14:13:15.300102-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539173-04
946684800,26021,10,pgxc,10.87.3.185,55545,2015-08-21 14:13:06.599546-04,,2015-08-21 14:13:15.282138-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.53898-04
946684800,26025,10,pgxc,10.223.4.4,51107,2015-08-21 14:13:06.600892-04,,2015-08-21 14:13:15.279795-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539685-04
946684800,26023,10,pgxc,10.94.132.84,44003,2015-08-21 14:13:06.601971-04,,2015-08-21 14:13:15.286371-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.538656-04
946684800,26026,10,pgxc,10.223.4.4,51108,2015-08-21 14:13:06.602437-04,,2015-08-21 14:13:15.287316-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.538407-04
946684800,26043,10,psql,10.93.131.148,43146,2015-08-21 14:13:23.536489-04,,2015-08-21 14:13:23.568816-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:13:23.568818-04
946684800,26044,10,psql,10.93.131.148,43149,2015-08-21 14:13:23.538754-04,,2015-08-21 14:13:23.566593-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:13:23.566596-04
946684800,26047,10,psql,10.93.131.148,43154,2015-08-21 14:13:23.540622-04,,2015-08-21 14:13:23.567438-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:13:23.56744-04
946684800,26046,10,psql,10.93.131.148,43152,2015-08-21 14:13:23.540334-04,,2015-08-21 14:13:23.569489-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:13:23.569494-04
946684800,26048,10,psql,10.93.131.148,43157,2015-08-21 14:13:23.542168-04,,2015-08-21 14:13:23.572889-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:13:23.572892-04
946684800,25992,10,pgxc,10.93.131.148,42999,2015-08-21 14:12:31.501623-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:13:23.766404-04,f,Remote Subplan,active,2015-08-21 14:13:23.790241-04
946684800,25997,10,pgxc,10.87.3.232,34996,2015-08-21 14:13:06.576725-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.554975-04,f,Remote Subplan,active,2015-08-21 14:14:23.607549-04
946684800,26012,10,pgxc,10.87.3.232,35005,2015-08-21 14:13:06.590448-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.54328-04,f,Remote Subplan,active,2015-08-21 14:14:23.60556-04
946684800,26013,10,pgxc,10.92.9.245,48884,2015-08-21 14:13:06.590443-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.56405-04,f,Remote Subplan,active,2015-08-21 14:14:23.605069-04
946684800,26014,10,pgxc,10.87.3.185,55544,2015-08-21 14:13:06.592249-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.54548-04,f,Remote Subplan,active,2015-08-21 14:14:23.588781-04
946684800,26016,10,pgxc,10.95.141.120,50075,2015-08-21 14:13:06.593364-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.476418-04,f,Remote Subplan,active,2015-08-21 14:14:23.606826-04
946684800,26015,10,pgxc,10.87.8.227,35196,2015-08-21 14:13:06.593825-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.497746-04,f,Remote Subplan,active,2015-08-21 14:14:23.608238-04
946684800,26018,10,pgxc,10.87.8.227,35197,2015-08-21 14:13:06.5939-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.491802-04,f,Remote Subplan,active,2015-08-21 14:14:23.608109-04
946684800,26017,10,pgxc,10.94.132.84,44002,2015-08-21 14:13:06.59451-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.548891-04,f,Remote Subplan,active,2015-08-21 14:14:23.606539-04
946684800,26019,10,pgxc,10.87.3.206,35229,2015-08-21 14:13:06.59497-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.569159-04,f,Remote Subplan,active,2015-08-21 14:14:23.611141-04
946684800,26020,10,pgxc,10.92.9.245,48885,2015-08-21 14:13:06.59623-04,2015-08-21 14:13:23.668496-04,2015-08-21 14:14:23.564771-04,f,Remote Subplan,active,2015-08-21 14:14:23.605894-04
