ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,28525,10,psql,10.93.131.148,43506,2015-08-21 14:42:24.077902-04,,2015-08-21 14:42:24.310435-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:42:24.310438-04
946684800,28522,10,psql,10.93.131.148,43486,2015-08-21 14:42:24.097512-04,,2015-08-21 14:42:24.352043-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:42:24.352046-04
946684800,28521,10,psql,10.93.131.148,43482,2015-08-21 14:42:24.10049-04,,2015-08-21 14:42:24.338917-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-08-21 14:42:24.338919-04
946684800,27863,10,pgxc,10.87.3.232,38076,2015-08-21 14:32:11.421651-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.625641-04,f,Remote Subplan,active,2015-08-21 14:43:23.914712-04
946684800,27867,10,pgxc,10.87.8.227,55025,2015-08-21 14:32:11.486502-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.889393-04,f,Remote Subplan,active,2015-08-21 14:43:24.232699-04
946684800,27855,10,pgxc,10.87.3.206,34847,2015-08-21 14:32:11.265039-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:18.95867-04,f,Remote Subplan,active,2015-08-21 14:43:23.901573-04
946684800,27875,10,pgxc,10.95.141.120,35077,2015-08-21 14:32:11.535434-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.164887-04,f,Remote Subplan,active,2015-08-21 14:43:24.109514-04
946684800,27854,10,pgxc,10.87.3.206,34846,2015-08-21 14:32:11.262394-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:19.095413-04,f,Remote Subplan,active,2015-08-21 14:43:24.042983-04
946684800,27870,10,pgxc,10.92.9.245,55031,2015-08-21 14:32:11.500534-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:21.362282-04,f,Remote Subplan,active,2015-08-21 14:43:23.653744-04
946684800,27850,10,pgxc,10.92.9.245,54985,2015-08-21 14:32:11.241911-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:43:22.080824-04,f,Remote Subplan,active,2015-08-21 14:43:24.148293-04
